Date,Comments,Standard solution concentration (mmol/L),Mass Sample,Mass DI,A_Cl (~4.2 min),A_Br (),A_PO4 (~8.6 min),A_SO4 (~9.6 min),w_Cl,w_Br,w_PO4,w_SO4,log_A_Cl,log_A_Br,log_A_PO4,log_A_SO4,log_w_Cl,log_w_Br,log_w_PO4,log_w_so4
9/9/22,Ian; Sample = 10 mmol/L standard,10,5,0,72.6948,72.416,,,0.000355567,0.000801404,0.000952572,0.00096349,1.861503346,1.859834532,#NUM!,#NUM!,-3.449078919,-3.096148379,-3.021102318,-3.016152576
9/9/22,,10,1.2259,4.8525,12.8052,12.4055,9.0796,24.3085,7.17112E-05,0.000161628,0.000192116,0.000194318,1.107386366,1.093614273,0.958066716,1.385758161,-4.14441315,-3.79148261,-3.716436549,-3.711486807
9/9/22,,10,0.4559,4.7528,4.9488,4.7625,3.5535,9.733,3.11216E-05,7.01442E-05,8.33754E-05,8.43311E-05,0.694499903,0.677834989,0.55065632,0.988246723,-4.506938671,-4.154008131,-4.078962071,-4.074012328
9/9/22,,10,0.1887,5.6631,1.5977,1.5506,1.1866,3.1818,1.14658E-05,2.58425E-05,3.07171E-05,3.10692E-05,0.203495235,0.19049978,0.074304344,0.502672878,-4.940596493,-4.587665953,-4.512619893,-4.50767015
9/9/22,,0.1,5,0,0.4849,0.4529,0.3429,0.9234,3.55567E-06,8.01404E-06,9.52572E-06,9.6349E-06,-0.314347816,-0.343997679,-0.464832515,-0.03461013,-5.449078919,-5.096148379,-5.021102318,-5.016152576
9/9/22,,0.1,1.9851,4.0781,0.1584,0.1457,0.1135,0.2969,1.16413E-06,2.62381E-06,3.11873E-06,3.15448E-06,-0.800244823,-0.836540448,-0.945004139,-0.527389802,-5.933998423,-5.581067884,-5.506021823,-5.501072081
9/9/22,,0.1,0.823,4.7519,0.0758,0.0646,0.0497,0.1319,5.24909E-07,1.18308E-06,1.40624E-06,1.42236E-06,-1.120330794,-1.189767482,-1.303643611,-0.879755205,-6.279916165,-5.926985625,-5.851939565,-5.846989822
9/9/22,,0.1,0.1873,5.639,0.0194,0.0135,0.0109,0.0282,1.14305E-07,2.5763E-07,3.06226E-07,3.09736E-07,-1.71219827,-1.869666232,-1.962573502,-1.549750892,-6.941933984,-6.589003445,-6.513957384,-6.509007642
9/9/22,,0.1,0.0504,5.3129,0.0085,0.0037,0.0028,0.0086,3.34133E-08,7.53096E-08,8.95151E-08,9.05411E-08,-2.070581074,-2.431798276,-2.552841969,-2.065501549,-7.476080473,-7.123149933,-7.048103872,-7.04315413
9/9/22,,0.1,0.0839,5.8923,0.0102,0.0058,0.0052,0.0134,4.99181E-08,1.12509E-07,1.33732E-07,1.35265E-07,-1.991399828,-2.236572006,-2.283996656,-1.872895202,-7.301742081,-6.948811541,-6.873765481,-6.868815738
9/9/22,,1,5,0,5.7312,6.2512,4.1468,11.0964,3.55567E-05,8.01404E-05,9.52572E-05,9.6349E-05,0.758245564,0.795963394,0.61771309,1.045182104,-4.449078919,-4.096148379,-4.021102318,-4.016152576
9/9/22,,1,5,0,5.7178,5.5094,4.1701,11.2142,3.55567E-05,8.01404E-05,9.52572E-05,9.6349E-05,0.75722896,0.741104305,0.62014647,1.049768297,-4.449078919,-4.096148379,-4.021102318,-4.016152576
9/9/22,,1,1.8939,3.6559,1.6934,1.6438,1.2763,3.3641,1.21339E-05,2.73484E-05,3.2507E-05,3.28796E-05,0.228759555,0.215848976,0.105952769,0.526868897,-4.915999207,-4.563068668,-4.488022607,-4.483072865
9/9/22,,1,1.1879,4.546,0.9828,0.9645,0.7401,1.9668,7.36632E-06,1.66028E-05,1.97346E-05,1.99608E-05,-0.007534852,-0.015697768,-0.130709596,0.2937602,-5.132749151,-4.779818611,-4.70477255,-4.699822808
9/9/22,,1,0.1507,5.7708,0.1153,0.1106,0.084,0.2265,9.04904E-07,2.03954E-06,2.42426E-06,2.45205E-06,-0.938170693,-0.956244873,-1.075720714,-0.644931794,-6.0433974,-5.69046686,-5.6154208,-5.610471057
9/9/22,,1,0.4528,5.085,0.3706,0.3658,0.2795,0.7406,2.9073E-06,6.55271E-06,7.78873E-06,7.87801E-06,-0.431094585,-0.436756299,-0.553618188,-0.130416292,-5.536509768,-5.183579228,-5.108533167,-5.103583425
9/9/22,,1,0.1906,5.6488,0.1483,0.1451,0.11,0.2891,1.16058E-06,2.61581E-06,3.10923E-06,3.14487E-06,-0.828858849,-0.838332588,-0.958607315,-0.538951908,-5.935324248,-5.582393708,-5.507347647,-5.502397905
9/9/22,,1,0.054,5.4049,0.0453,0.0415,0.0317,0.087,3.5173E-07,7.92757E-07,9.42294E-07,9.53095E-07,-1.343901798,-1.381951903,-1.498940738,-1.060480747,-6.453790298,-6.100859758,-6.025813697,-6.020863955
9/9/22,,1,0.0248,5.6799,0.0213,0.0179,0.0135,0.0372,1.54575E-07,3.48394E-07,4.14111E-07,4.18857E-07,-1.671620397,-1.747146969,-1.869666232,-1.42945706,-6.810860049,-6.457929509,-6.382883448,-6.377933706
9/9/22,,1,0.0318,6.1216,0.0258,0.0217,0.0179,0.0463,1.83752E-07,4.14156E-07,4.92277E-07,4.9792E-07,-1.588380294,-1.663540266,-1.747146969,-1.334419009,-6.735766946,-6.382836406,-6.307790345,-6.302840603
